Team_Id,Team_Name,Team_Class
1101,AbileneChr,3
1102,AirForce,2
1103,Akron,2
1104,Alabama,2
1105,AlabamaA&M,3
1106,AlabamaSt,3
1107,AlbanyNY,3
1108,AlcornSt,3
1109,AlliantIntl,3
1110,AmericanUniv,3
1111,AppalachianSt,2
1112,Arizona,2
1113,ArizonaSt,2
1114,ArkLittleRock,3
1115,ArkPineBluff,3
1116,Arkansas,2
1117,ArkansasSt,2
1118,ArmstrongSt,3
1119,Army,2
1120,Auburn,2
1121,Augusta,3
1122,AustinPeay,3
1123,BallSt,2
1124,Baylor,2
1125,Belmont,3
1126,Bethune-Cookman,3
1127,Binghamton,3
1128,BirminghamSo,3
1129,BoiseSt,2
1130,BostonCollege,2
1131,BostonUniv,3
1132,BowlingGreen,2
1133,Bradley,3
1134,Brooklyn,3
1135,Brown,3
1136,Bryant,3
1137,Bucknell,3
1138,Buffalo,2
1139,Butler,3
1140,BYU,2
1141,CMichigan,2
1142,CalPolySLO,3
1143,California,2
1144,Campbell,3
1145,Canisius,3
1146,CentArkansas,3
1147,Centenary,3
1148,CentralConn,3
1149,CharlestonSo,3
1150,Charlotte,2
1151,Chattanooga,3
1152,ChicagoSt,3
1153,Cincinnati,2
1154,Citadel,3
1155,Clemson,2
1156,ClevelandSt,3
1157,CoastalCar,3
1158,ColCharleston,3
1159,Colgate,3
1160,Colorado,2
1161,ColoradoSt,2
1162,Columbia,3
1163,Connecticut,2
1164,CoppinSt,3
1165,Cornell,3
1166,Creighton,3
1167,CSBakersfield,3
1168,CSFullerton,3
1169,CSNorthridge,3
1170,CSSacramento,3
1171,Dartmouth,3
1172,Davidson,3
1173,Dayton,3
1174,Delaware,3
1175,DelawareSt,3
1176,Denver,3
1177,DePaul,3
1178,Detroit,3
1179,Drake,3
1180,Drexel,3
1181,Duke,2
1182,Duquesne,3
1183,EIllinois,3
1184,EKentucky,3
1185,EMichigan,2
1186,EWashington,3
1187,EastCarolina,2
1188,Edwardsville,3
1189,Elon,3
1190,ETSU,3
1191,Evansville,3
1192,FDickinson,3
1193,Fairfield,3
1194,FLAtlantic,2
1195,FLGulfCoast,3
1196,Florida,2
1197,FloridaA&M,3
1198,FloridaIntl,2
1199,FloridaSt,2
1200,Fordham,3
1201,FresnoSt,2
1202,Furman,3
1203,GWashington,3
1204,GaSouthern,2
1205,GardnerWebb,3
1206,GeorgeMason,3
1207,Georgetown,3
1208,Georgia,2
1209,GeorgiaSt,2
1210,GeorgiaTech,2
1211,Gonzaga,3
1212,Grambling,3
1213,GrandCanyon,3
1214,Hampton,3
1215,Hardin-Simmons,3
1216,Hartford,3
1217,Harvard,3
1218,Hawaii,2
1219,HighPoint,3
1220,Hofstra,3
1221,HolyCross,3
1222,Houston,2
1223,HoustonBap,3
1224,Howard,3
1225,Idaho,2
1226,IdahoSt,3
1227,ILChicago,3
1228,Illinois,2
1229,IllinoisSt,3
1230,IncarnateWord,3
1231,Indiana,2
1232,IndianaSt,3
1233,Iona,3
1234,Iowa,2
1235,IowaSt,2
1236,IPFW,3
1237,IUPUI,3
1238,JacksonSt,3
1239,Jacksonville,3
1240,JacksonvilleSt,3
1241,JamesMadison,3
1242,Kansas,2
1243,KansasSt,2
1244,Kennesaw,3
1245,Kent,2
1246,Kentucky,2
1247,LaSalle,3
1248,Lafayette,3
1249,Lamar,3
1250,Lehigh,3
1251,Liberty,3
1252,Lipscomb,3
1253,LongBeachSt,3
1254,LongIsland,3
1255,Longwood,3
1256,LouisianaTech,2
1257,Louisville,2
1258,LoyMarymount,3
1259,LoyolaMD,3
1260,Loyola-Chicago,3
1261,LSU,2
1262,MALowell,3
1263,Maine,3
1264,Manhattan,3
1265,Marist,3
1266,Marquette,3
1267,Marshall,2
1268,Maryland,2
1269,Massachusetts,2
1270,McNeeseSt,3
1271,MDEShore,3
1272,Memphis,2
1273,Mercer,3
1274,MiamiFL,2
1275,MiamiOH,2
1276,Michigan,2
1277,MichiganSt,2
1278,Minnesota,2
1279,Mississippi,2
1280,MississippiSt,2
1281,Missouri,2
1282,MissouriKC,3
1283,MissouriSt,3
1284,MonmouthNJ,3
1285,Montana,3
1286,MontanaSt,3
1287,MoreheadSt,3
1288,MorganSt,3
1289,MorrisBrown,3
1290,MSValleySt,3
1291,MtStMary's,3
1292,MTSU,2
1293,MurraySt,3
1294,NColorado,3
1295,NDakotaSt,3
1296,NIllinois,2
1297,NKentucky,3
1298,Navy,2
1299,NCA&T,3
1300,NCCentral,3
1301,NCState,2
1302,NEIllinois,3
1303,NEOmaha,3
1304,Nebraska,2
1305,Nevada,2
1306,NewHampshire,3
1307,NewMexico,2
1308,NewMexicoSt,2
1309,NewOrleans,3
1310,Niagara,3
1311,NichollsSt,3
1312,NJIT,3
1313,NorfolkSt,3
1314,NorthCarolina,2
1315,NorthDakota,3
1316,NorthFlorida,3
1317,NorthTexas,2
1318,Northeastern,3
1319,NorthernArizona,3
1320,NorthernIowa,3
1321,Northwestern,2
1322,NorthwesternLA,3
1323,NotreDame,2
1324,Oakland,3
1325,Ohio,2
1326,OhioSt,2
1327,OklaCity,3
1328,Oklahoma,2
1329,OklahomaSt,2
1330,OldDominion,2
1331,OralRoberts,3
1332,Oregon,2
1333,OregonSt,2
1334,Pacific,3
1335,Penn,3
1336,PennSt,2
1337,Pepperdine,3
1338,Pittsburgh,2
1339,Portland,3
1340,PortlandSt,3
1341,PrairieView,3
1342,Presbyterian,3
1343,Princeton,3
1344,Providence,3
1345,Purdue,2
1346,Quinnipiac,3
1347,Radford,3
1348,RhodeIsland,3
1349,Rice,2
1350,Richmond,3
1351,Rider,3
1352,RobertMorris,3
1353,Rutgers,2
1354,SCarolinaSt,3
1355,SDakotaSt,3
1356,SIllinois,3
1357,SacredHeart,3
1358,SamHoustonSt,3
1359,Samford,3
1360,SanDiego,3
1361,SanDiegoSt,2
1362,SanFrancisco,3
1363,SanJoseSt,2
1364,SantaBarbara,3
1365,SantaClara,3
1366,SavannahSt,3
1367,SCUpstate,3
1368,SELouisiana,3
1369,SEMissouriSt,3
1370,Seattle,3
1371,SetonHall,3
1372,SFAustin,3
1373,Siena,3
1374,SMU,2
1375,SouthAlabama,2
1376,SouthCarolina,2
1377,SouthDakota,3
1378,SouthFlorida,2
1379,SouthernMiss,2
1380,SouthernUniv,3
1381,SouthernUtah,3
1382,StBonaventure,3
1383,StFrancisNY,3
1384,StFrancisPA,3
1385,StJohn's,3
1386,StJoseph'sPA,3
1387,StLouis,3
1388,StMary'sCA,3
1389,StPeter's,3
1390,Stanford,2
1391,Stetson,3
1392,StonyBrook,3
1393,Syracuse,2
1394,TAMC.Christi,3
1395,TCU,2
1396,Temple,2
1397,Tennessee,2
1398,TennesseeSt,3
1399,TennesseeTech,3
1400,Texas,2
1401,TexasA&M,2
1402,TexasSt,2
1403,TexasTech,2
1404,TNMartin,3
1405,Toledo,2
1406,Towson,3
1407,Troy,2
1408,Tulane,2
1409,Tulsa,2
1410,UTRGV,3
1411,TXSouthern,3
1412,UAB,3
1413,UCDavis,3
1414,UCIrvine,3
1415,UCRiverside,3
1416,UCF,2
1417,UCLA,2
1418,ULL,2
1419,ULM,2
1420,UMBC,3
1421,UNCAsheville,3
1422,UNCGreensboro,3
1423,UNCWilmington,3
1424,UNLV,2
1425,USC,2
1426,UTArlington,3
1427,UTSanAntonio,2
1428,Utah,2
1429,UtahSt,2
1430,UtahValley,3
1431,UTEP,2
1432,Utica,3
1433,VACommonwealth,3
1434,Valparaiso,3
1435,Vanderbilt,2
1436,Vermont,3
1437,Villanova,3
1438,Virginia,2
1439,VirginiaTech,2
1440,VMI,3
1441,WCarolina,3
1442,WIllinois,3
1443,WKU,2
1444,WMichigan,2
1445,WSalemSt,3
1446,WTexasA&M,3
1447,Wagner,3
1448,WakeForest,2
1449,Washington,2
1450,WashingtonSt,2
1451,WeberSt,3
1452,WestVirginia,2
1453,WIGreenBay,3
1454,WIMilwaukee,3
1455,WichitaSt,3
1456,William&Mary,3
1457,Winthrop,3
1458,Wisconsin,2
1459,Wofford,3
1460,WrightSt,3
1461,Wyoming,2
1462,Xavier,3
1463,Yale,3
1464,YoungstownSt,3
